Paper Title,Publication Year,Dataset Used,Algorithms / Models Used,Deep Learning Used (Yes/No),Explainable AI Used (Yes/No),Accuracy / Performance,Accuracy,Strengths,Limitations
Early Detection of Diabetes Mellitus Using Machine Learning Techniques,2019,Pima Indian Diabetes Dataset (UCI),"Logistic Regression, Random Forest, SVM",No,No,~0.80 (accuracy); AUC ~0.82,0.8,Comparative evaluation of traditional classifiers with CV and sensible baselines.,Limited features (Pima-only); no deep learning or XAI considered.
Diabetes Prediction Using Logistic Regression and Machine Learning Techniques,2020,Pima Indian Diabetes Dataset / Clinical registry,"Logistic Regression, Decision Trees, Random Forest",No,No,~0.78-0.83 (accuracy) depending on model,0.805,Clear presentation of LR as interpretable baseline; robust cross-validation.,Limited external validation; does not explore DL or formal XAI methods.
Machine Learning Models for Predicting Diabetes Risk Using Clinical Data,2021,Large clinical cohort / EHR-derived features,"Random Forest, Gradient Boosting, Logistic Regression",No,No,~0.83 accuracy; AUC ~0.87,0.83,Large-scale clinical validation; attention to feature engineering and calibration.,Limited exploration of deep learning architectures and XAI for individual-level explanations.
Comparative Study of Machine Learning Algorithms for Diabetes Prediction,2020,Pima Indian Diabetes Dataset / Combined clinical datasets,"SVM, Random Forest, KNN, Logistic Regression",No,No,~0.79-0.85 depending on method; SVM/RF top performers,0.82,Broad algorithm comparison and sensitivity analysis.,Often limited to small datasets; no model interpretability module.
Random Forest-Based Predictive Model for Type 2 Diabetes,2018,Clinical study cohorts / Pima,"Random Forest (primary), Decision Trees",No,Partial (feature importance),~0.82 accuracy; strong variable importance metrics,0.82,Interpretable variable importance; robust handling of tabular data.,Feature importance is global; lacks per-instance explanations and DL exploration.
Diabetes Prediction Using Support Vector Machines,2017,Pima Indian Diabetes Dataset,Support Vector Machines (RBF/linear),No,No,~0.78-0.84 depending on kernel and tuning,0.81,Thorough treatment of kernel methods and regularization.,Scalability and interpretability are limited for clinicians.
Deep Learning Approaches for Diabetes Prediction Using Electronic Health Records,2020,EHR-derived longitudinal datasets,"LSTM, CNN, Dense Neural Networks",Yes,Limited / No,~0.86 accuracy; AUC ~0.90 for well-tuned DL models,0.86,Captures temporal patterns in EHR; improved performance on large data.,Challenge in interpretability; requires substantial data and compute.
IoT and Machine Learning-Based System for Monitoring Diabetes,2021,Sensor streams + clinical records; research demo datasets,"Random Forest, SVM, lightweight Neural Nets",Yes (lightweight CNN/NN for sensor features),No,~0.80-0.88 depending on sensor modalities,0.84,Real-time monitoring pipeline; emphasis on reliability and edge inferencing.,Data heterogeneity and privacy concerns; limited interpretability.
Explainable Artificial Intelligence for Diabetes Risk Prediction Using SHAP,2022,Large clinical datasets / EHR,"XGBoost/Gradient Boosting, Random Forest; SHAP for explanation",No (focus on ensemble + XAI),Yes (SHAP integrated),~0.85-0.89 AUC with SHAP explanations for model trust,0.87,Per-instance SHAP explanations allow clinical plausibility checks and feature-level transparency.,"SHAP computation can be costly; explains post-hoc, not inherently interpretable models."
Interpretable Machine Learning Models in Healthcare Diagnostics,2021,Survey across multiple clinical datasets (N/A specific),"Survey: LR, SVM, RF, DL, XAI methods (LIME/SHAP)",Yes (survey covers DL literature),Yes (LIME/SHAP and interpretable models discussed),N/A (survey); reported ranges across studies: 0.75-0.90,0.82,Comprehensive literature synthesis and taxonomy of interpretability methods.,Survey-level conclusions; does not present new empirical results.
GlucoVision (This Project),2024-2025,PIMA Indian Diabetes Dataset + additional clinical features (local clinical registry),"Logistic Regression, Random Forest, SVM, LSTM, GRU, CNN",Yes,Yes (SHAP + LIME integrated),Best models: RF ~0.87; CNN/LSTM ~0.89; AUC up to 0.92 in cross-validation,0.89,Multi-model pipeline including classical ML and deep learning; integrated per-instance XAI (SHAP/LIME); deployment as Streamlit web app for clinical accessibility.,PIMA dataset <--> real-world heterogeneity; needs external multi-center validation; deployment privacy/hardening tasks remain.
